Rang	Name	EWZ 1939	EWZ 1950	EWZ 1960	EWZ 1970	EWZ 1980	EWZ 1990	EWZ 2000	EWZ 2010	EWZ 2016	Fläche in km² (2016)	Ew./km² (2016)	Änd. [%](Vorjahr)	Großstadt erst­mals	Bun­des­land
1	Berlin	4.321.521	3.336.026	3.274.016	3.208.719	3.048.759	3.433.695	3.382.169	3.460.725	3.574.830	891,68	4.009	+1,56	1747	Berlin
2	Hamburg	1.698.388	1.605.606	1.836.958	1.793.640	1.645.095	1.652.363	1.715.392	1.786.448	1.810.438	755,22	2.397	+1,29	1787	Hamburg
3	München	815.212	831.937	1.101.384	1.311.978	1.298.941	1.229.026	1.210.223	1.353.186	1.464.301	310,70	4.713	+0,96	1852	Bayern
4	Köln	768.352	594.941	801.142	849.451	976.694	953.551	962.884	1.007.119	1.075.935	405,02	2.656	+1,45	1852	Nordrhein-Westfalen
5	Frankfurt am Main	548.220	532.037	675.009	666.179	629.375	644.865	648.550	679.664	736.414	248,31	2.966	+0,51	1875	Hessen
6	Stuttgart	454.346	497.677	637.366	634.202	580.648	579.988	583.874	606.588	628.032	207,35	3.029	+0,69	1874	Baden-Württemberg
7	Düsseldorf	535.753	500.516	697.891	660.963	590.479	575.794	569.364	588.735	613.230	217,41	2.821	+0,17	1882	Nordrhein-Westfalen
8	Dortmund	537.865	507.349	640.802	640.642	608.297	599.055	588.994	580.444	585.813	280,71	2.087	−0,06	1894	Nordrhein-Westfalen
9	Essen	664.523	605.411	729.462	696.419	647.643	626.973	595.243	574.635	583.084	210,34	2.772	+0,08	1896	Nordrhein-Westfalen
10	Leipzig	702.155	617.574	589.632	583.885	562.480	511.079	493.208	522.883	571.088	297,80	1.918	+1,89	1871	Sachsen
11	Bremen	354.109	444.549	563.270	592.533	555.118	551.219	539.403	547.340	565.719	325,56	1.738	+1,48	1875	Bremen
12	Dresden	629.713	494.187	493.603	502.432	516.225	490.571	477.807	523.058	547.172	328,48	1.666	+0,62	1852	Sachsen
13	Hannover	464.646	444.296	574.672	521.003	534.623	513.010	515.001	522.686	532.864	204,14	2.610	+0,13	1875	Niedersachsen
14	Nürnberg	420.349	362.459	458.401	478.181	484.405	493.692	488.400	505.664	511.628	186,38	2.745	+0,32	1881	Bayern
15	Duisburg	433.530	410.783	503.641	452.721	558.089	535.447	514.915	489.599	499.845	232,80	2.147	+1,75	1903	Nordrhein-Westfalen
16	Bochum	305.469	289.804	362.490	343.809	400.757	396.486	391.147	374.737	364.920	145,66	2.505	+0,05	1904	Nordrhein-Westfalen
17	Wuppertal	399.718	363.224	421.378	417.694	393.381	383.660	366.434	349.721	352.390	168,39	2.093	+0,67	1884	Nordrhein-Westfalen
18	Bielefeld	126.711	153.613	174.527	168.609	312.708	319.037	321.758	323.270	333.451	258,82	1.288	+0,11	1930	Nordrhein-Westfalen
19	Bonn	98.702	115.394	146.889	275.722	288.148	292.234	302.247	324.899	322.125	141,06	2.284	+1,04	1934	Nordrhein-Westfalen
20	Münster	132.760	118.496	180.871	198.878	269.696	259.438	265.609	279.803	311.846	303,28	1.028	+0,58	1915	Nordrhein-Westfalen
21	Karlsruhe	184.489	198.840	240.450	259.091	271.892	275.061	278.558	294.761	309.999	173,46	1.787	+0,73	1901	Baden-Württemberg
22	Mannheim	280.365	245.634	311.383	332.378	304.303	310.411	306.729	313.174	304.781	144,96	2.103	−0,33	1897	Baden-Württemberg
23	Augsburg	180.039	185.183	206.422	213.230	248.346	256.877	254.982	264.708	289.584	146,84	1.972	+1,12	1909	Bayern
24	Wiesbaden1165.646	220.741	257.293	250.715	274.464	260.301	270.109	275.976	277.619	203,93	1.361	+0,51	1905	Hessen
25	Gelsenkirchen	317.505	315.460	388.608	347.074	304.386	293.714	278.695	257.981	262.528	104,94	2.502	+0,83	1903	Nordrhein-Westfalen
26	Mönchen­gladbach, 5	128.418	124.879	152.414	151.085	128.329	259.436	263.014	257.993	260.925	170,47	1.531	+0,36	1921	Nordrhein-Westfalen
27	Braunschweig	189.628	223.760	242.489	223.275	261.141	258.833	245.816	248.867	248.667	192,18	1.294	−1,07	1890	Niedersachsen
28	Kiel	261.298	254.449	271.610	271.070	250.062	245.567	232.612	239.526	247.441	118,65	2.085	+0,46	1900	Schleswig-Holstein
29	Chemnitz	334.713	293.373	286.329	299.411	317.644	294.244	259.246	243.248	246.353	221,05	1.114	−0,92	1883	Sachsen
30	Aachen	159.631	129.811	170.367	175.451	243.947	241.861	244.386	258.664	244.951	160,85	1.523	−0,38	1888	Nordrhein-Westfalen
31	Magdeburg	329.824	260.305	261.594	272.237	289.032	278.807	231.450	231.549	238.136	201,00	1.185	+1,02	1882	Sachsen-Anhalt
32	Halle (Saale)	217.480	289.119	277.855	257.261	232.294	310.234	247.736	232.963	238.005	135,02	1.763	+0,43	1890	Sachsen-Anhalt
